consent,globalM,year,gender,confidence,friends,read,write,speak,listen
Consent,Yes,1992,Male,4.29,18,73,78,65,31
Consent,Yes,1993,Male,4.33,19,71,79,62,34
Consent,Yes,1993,Female,4.40,16,72,83,64,35
Consent,Yes,1993,Female,4.41,21,74,85,65,37
Consent,Yes,1993,Female,4.42,24,73,84,63,35
Consent,No,1992,Male,4.43,13,74,84,66,39
Consent,No,1994,Male,4.43,8,73,83,66,37
Consent,No,1994,Male,4.43,3,74,84,67,43
Consent,No,1994,Genderqueer,4.44,11,72,84,66,36
Consent,Yes,1992,Male,4.46,4,77,84,65,31
Consent,Yes,1992,Male,4.46,10,73,84,65,27
Consent,Yes,1993,Male,4.47,30,73,82,69,27
Refused,No,1993,Male,4.47,23,72,84,65,41
Consent,Yes,1991,Female,4.48,24,75,82,66,27
Consent,Yes,37,Female,4.52,26,73,84,66,42
Consent,Yes,1993,Female,4.53,21,72,82,64,37
Consent,Yes,1992,Male,4.54,9,74,81,64,29
Consent,No,1992,Male,4.55,1,73,82,66,37
Refused,No,1992,Male,4.57,2,74,84,67,42
Consent,Undisc,1991,Female,4.61,4,75,83,64,40
Consent,No,1993,Female,4.62,26,74,84,67,32
Consent,No,1993,Female,4.65,1,74,84,64,34
Consent,No,1993,Male,4.68,28,73,83,66,38
Consent,Yes,1991,Female,4.69,15,71,82,66,40
Consent,Yes,1994,Female,4.69,11,73,85,65,34
Consent,No,1992,Male,4.70,16,70,82,65,36
Refused,No,1993,Female,4.71,11,72,83,67,34
Consent,Yes,1993,Male,4.72,7,77,83,65,39
Consent,Yes,1994,Female,4.76,11,74,85,65,34
Consent,No,1993,Female,4.76,12,76,85,66,31
Consent,Yes,1992,Male,4.77,9,73,83,66,37
Refused,No,1993,Male,4.78,16,72,83,66,39
Consent,Yes,1991,Male,4.79,3,77,85,67,31
Consent,Yes,1993,Male,4.81,20,74,80,65,33
Consent,Yes,1993,Male,4.84,8,73,81,66,33
Consent,Yes,1994,Female,4.85,4,74,86,65,36
Refused,No,1991,Male,4.85,13,76,81,66,26
Consent,Yes,1995,Female,4.85,24,72,85,64,38
Consent,Yes,1994,Female,4.86,29,74,83,65,43
Consent,Yes,1993,Female,4.90,31,75,82,64,33
Consent,Yes,1990,Female,4.93,19,72,81,66,41
Consent,Yes,1992,Male,4.93,8,75,82,66,31
Consent,No,1992,Female,4.93,19,76,84,66,44
Consent,Yes,1993,Female,4.95,25,73,87,67,41
Consent,Yes,82,Female,4.95,9,75,85,65,33
Consent,No,1993,Male,4.98,28,75,84,65,41
Consent,No,1995,Female,4.99,3,75,86,65,24
Consent,Yes,1993,Female,4.99,0,76,86,66,37
Consent,No,1992,Male,4.99,7,72,82,67,34
Consent,No,1994,Male,5.00,26,72,81,65,31
Consent,Yes,1994,Male,5.00,22,72,85,63,22
Consent,No,1993,Female,5.00,17,75,86,66,46
Consent,No,1994,Female,5.01,16,75,83,67,42
Consent,No,1992,Male,5.02,18,75,82,67,38
Consent,No,1993,Male,5.02,7,76,83,66,26
Consent,Yes,1995,Male,5.02,23,75,87,65,47
Consent,Yes,1991,Male,5.04,2,75,81,69,37
Consent,Yes,1992,Male,5.04,0,75,84,64,38
Consent,Yes,1993,Female,5.05,16,70,84,66,41
Consent,Yes,1993,Female,5.05,25,73,82,65,35
Consent,Yes,1992,Female,5.07,29,73,81,64,29
Consent,Yes,1993,Male,5.08,9,74,86,67,37
Consent,Yes,1992,Female,5.08,19,73,80,65,41
Consent,Yes,1993,Male,5.09,12,75,84,66,39
Consent,Yes,1993,Male,5.09,1,74,82,67,29
Consent,Yes,1993,Female,5.10,23,74,82,66,33
Consent,Yes,1992,Male,5.10,6,72,82,67,33
Consent,Yes,1993,Female,5.11,29,76,87,65,29
Consent,Yes,1993,Genderqueer,5.14,15,73,84,66,31
Consent,No,1992,Female,5.15,22,78,85,67,35
Consent,No,1991,Female,5.19,3,75,83,68,34
Consent,No,1992,Male,5.19,8,75,81,67,35
Consent,Yes,1993,Male,5.21,3,75,86,67,33
Consent,No,1994,Male,5.23,4,76,84,68,35
Consent,No,1992,Female,5.24,11,73,83,69,43
Consent,Yes,1992,Male,5.25,20,75,84,67,36
Consent,Yes,1992,Female,5.26,24,74,85,67,34
Consent,Yes,1992,Female,5.28,22,74,83,67,34
Consent,No,81,Female,5.29,16,76,85,64,32
Consent,Yes,1994,Male,5.29,20,76,85,64,31
Consent,No,1995,Female,5.30,3,76,84,66,35
Consent,No,1993,Female,5.30,26,72,85,67,29
Consent,Yes,1992,Female,5.31,22,74,83,66,45
Consent,No,1994,Female,5.34,16,72,83,67,34
Consent,No,1994,Male,5.34,24,74,86,66,30
Refused,No,1992,Male,5.35,10,73,82,67,33
Consent,No,1993,Female,5.37,7,74,86,66,34
Consent,Yes,1993,Female,5.39,6,75,83,64,30
Consent,No,1992,Male,5.40,2,74,84,66,30
Consent,No,1991,Male,5.40,13,74,85,69,34
Consent,Yes,1994,Female,5.40,21,72,85,67,41
Consent,Yes,1993,Female,5.41,20,75,87,67,40
Consent,No,1994,Female,5.41,19,75,86,67,39
Consent,No,1992,Male,5.43,19,76,83,65,33
Consent,No,1992,Female,5.44,7,74,81,65,27
Consent,Yes,1993,Male,5.45,12,75,84,66,28
Consent,Yes,1992,Female,5.45,30,74,81,67,28
Consent,Yes,1993,Female,5.46,11,72,84,66,33
Consent,Yes,1994,Male,5.46,15,73,86,67,30
Consent,Yes,1992,Genderqueer,5.46,16,72,82,65,22
Consent,Yes,1993,Female,5.50,4,74,80,65,35
Consent,Yes,1993,Male,5.52,20,77,84,65,40
Consent,No,1993,Male,5.53,18,76,85,67,36
Consent,Yes,1993,Female,5.54,12,73,85,68,33
Consent,No,1993,Male,5.55,28,76,83,66,34
Consent,No,1993,Genderqueer,5.56,23,73,84,67,37
Consent,Yes,1993,Female,5.56,5,73,83,68,28
Consent,Yes,1995,Female,5.57,1,72,85,66,31
Consent,Missing,1993,Male,5.58,13,74,84,66,36
Consent,No,1992,Male,5.59,30,73,82,67,31
Consent,Yes,1995,Male,5.59,11,75,87,65,35
Consent,No,1993,Male,5.59,19,77,85,67,36
Consent,No,1993,Female,5.60,2,73,83,68,36
Consent,No,1994,Male,5.62,19,71,86,68,29
Consent,No,1994,Male,5.63,20,75,86,66,36
Consent,Yes,1993,Male,5.65,13,77,85,66,39
Consent,No,1991,Male,5.69,28,73,80,67,22
Consent,No,1992,Male,5.69,23,76,85,66,30
Refused,No,1991,Female,5.72,13,76,83,69,38
Consent,No,78,Female,5.74,25,72,83,68,44
Refused,Missing,1994,Male,5.74,9,76,86,66,34
Consent,Yes,1994,Female,5.75,15,76,88,65,37
Consent,Yes,1992,Male,5.77,10,73,84,67,32
Consent,Yes,1993,Male,5.78,30,77,84,66,34
Consent,Yes,1994,Male,5.79,27,73,84,66,33
Consent,No,1992,Male,5.79,17,74,82,66,39
Consent,No,1994,Male,5.80,18,74,86,69,36
Consent,Yes,1994,Female,5.81,4,74,86,66,39
Consent,Yes,1994,Female,5.81,9,73,86,67,36
Consent,Yes,1991,Female,5.82,27,74,84,69,34
Consent,Yes,1994,Male,5.83,4,73,86,66,32
Consent,No,1994,Male,5.84,32,76,85,68,30
Consent,No,1993,Male,5.85,1,77,88,70,34
Consent,No,1994,Male,5.86,31,76,85,67,43
Consent,No,1992,Female,5.86,12,76,82,68,22
Consent,No,1994,Female,5.88,25,79,89,67,37
Consent,No,1994,Female,5.89,19,75,87,66,41
Consent,No,1991,Female,5.91,12,75,82,66,28
Consent,Yes,1994,Male,5.92,21,76,85,66,22
Consent,Yes,77,Male,5.94,26,76,85,66,35
Consent,Yes,1993,Female,5.94,20,71,82,67,37
Consent,No,1994,Male,5.95,8,75,87,67,32
Consent,Yes,1994,Female,5.99,0,77,88,66,44
Consent,No,1994,Male,5.99,5,74,87,68,36
Consent,Yes,1993,Male,6.00,10,76,84,66,31
Consent,No,1993,Female,6.01,20,73,83,71,36
Consent,No,1993,Male,6.04,16,77,84,69,29
Consent,No,1992,Female,6.05,11,76,84,68,41
Consent,No,1994,Male,6.05,4,77,88,68,37
Refused,No,1992,Female,6.09,22,76,84,66,43
Consent,No,1992,Female,6.10,24,77,83,69,37
Consent,No,1992,Female,6.12,15,75,79,70,35
Consent,No,1994,Male,6.12,5,76,85,67,25
Consent,No,1993,Female,6.15,10,76,85,68,35
Consent,Yes,1995,Female,6.17,14,72,86,67,31
Consent,No,1993,Male,6.21,15,76,83,68,43
Refused,No,1993,Female,6.22,7,77,87,66,39
Consent,No,1994,Male,6.23,31,76,86,68,32
Consent,No,1993,Male,6.24,11,76,86,68,39
Consent,No,1994,Female,6.24,6,75,86,69,34
Consent,No,1995,Male,6.29,31,77,86,66,37
Consent,No,1992,Male,6.30,7,78,85,69,35
Consent,No,1995,Female,6.31,21,77,87,66,38
Consent,No,1991,Male,6.31,15,77,85,70,31
Consent,Yes,1994,Male,6.32,10,72,87,66,33
Consent,No,1993,Female,6.34,14,77,87,66,36
Consent,No,1995,Genderqueer,6.35,8,74,85,66,29
Consent,No,1994,Male,6.36,23,75,84,68,26
Consent,Yes,1991,Female,6.38,22,75,82,68,34
Consent,No,1994,Male,6.39,29,75,85,67,37
Refused,No,1993,Female,6.39,14,74,86,70,36
Consent,No,1994,Male,6.41,25,76,85,69,33
Consent,Yes,1992,Male,6.46,15,75,85,67,26
Consent,No,1994,Female,6.47,28,76,88,67,43
Consent,No,1993,Female,6.49,15,77,86,67,39
Refused,Yes,1993,Female,6.50,29,74,83,68,39
Consent,No,1993,Male,6.53,5,77,83,69,31
Consent,No,1993,Male,6.58,18,79,85,67,41
Consent,No,1995,Male,6.61,24,78,89,65,31
Consent,No,1993,Female,6.65,8,76,88,69,42
Consent,No,1995,Female,6.71,2,80,89,68,41
Consent,Yes,1994,Female,6.72,17,75,86,67,33
Consent,No,1994,Male,6.74,4,77,87,66,38
Consent,No,1994,Female,6.74,22,79,85,66,34
Consent,Yes,1993,Female,6.75,15,73,86,69,34
Consent,No,1993,Female,6.76,14,75,84,68,35
Consent,No,1993,Male,6.79,30,74,82,67,38
Consent,Yes,1992,Female,6.79,10,76,85,67,32
Consent,No,1993,Male,6.81,23,78,88,69,36
Consent,No,1995,Male,6.81,23,77,87,67,43
Consent,No,1995,Female,6.86,0,76,90,67,28
Consent,No,1994,Female,6.87,24,78,86,68,34
Consent,No,1995,Male,6.91,29,78,89,66,38
Consent,No,1993,Male,6.91,4,75,87,68,40
Consent,No,1994,Male,7.18,11,78,86,69,25
Consent,No,1994,Female,7.20,29,76,88,68,43
Consent,No,1993,Female,7.21,29,74,86,71,32
Consent,No,1994,Male,7.23,31,79,87,68,32
Consent,No,1992,Male,7.26,19,77,85,71,33
Consent,No,1995,Female,7.34,9,78,88,69,39
Consent,No,1994,Male,7.39,23,76,87,68,38
Consent,No,1995,Male,7.56,9,79,89,68,35
Consent,No,1993,Female,7.57,5,77,88,69,42
Consent,No,1993,Male,7.58,22,75,86,71,34
Consent,Missing,1995,Male,7.64,20,75,87,70,29
Consent,No,1993,Female,7.65,27,75,88,69,46
Consent,No,1995,Male,8.05,2,79,87,68,46
